year,month,basin,BAY_SEG,source,majbasin,h2oload (m3/month),tnload (kg/month),tpload (kg/month),BODLOAD (kg/month),tssload (kg/month)
2008,1,LTARPON,1,NPS,Coastal OTB,2847455.294,2596.58135,713.203979,14506.83009,67420.56203
2008,2,LTARPON,1,NPS,Coastal OTB,3471472.821,3383.235154,869.5020547,17685.99018,82195.72372
2008,3,LTARPON,1,NPS,Coastal OTB,2902059.03,2828.454952,726.8806123,14785.01782,68713.44083
2008,4,LTARPON,1,NPS,Coastal OTB,4843130.688,4517.172785,1213.062093,24674.12716,114673.1236
2008,5,LTARPON,1,NPS,Coastal OTB,0,0,0,0,0
2008,6,LTARPON,1,NPS,Coastal OTB,6371.2356,6.36336422,1.595807524,32.45930937,150.8547951
2008,7,LTARPON,1,NPS,Coastal OTB,18651590.29,19939.89507,4792.813402,100055.1458,473876.7775
2008,8,LTARPON,1,NPS,Coastal OTB,21404856.54,21871.83006,5500.307571,114824.8492,543828.3964
2008,9,LTARPON,1,NPS,Coastal OTB,2365166.274,2536.675077,607.7659029,12687.76832,60091.24983
2008,10,LTARPON,1,NPS,Coastal OTB,0,0,0,0,0
2008,11,LTARPON,1,NPS,Coastal OTB,0,0,0,0,0
2008,12,LTARPON,1,NPS,Coastal OTB,0,0,0,0,0
2009,1,LTARPON,1,NPS,Coastal OTB,0,0,0,0,0
2009,2,LTARPON,1,NPS,Coastal OTB,0,0,0,0,0
2009,3,LTARPON,1,NPS,Coastal OTB,0,0,0,0,0
2009,4,LTARPON,1,NPS,Coastal OTB,0,0,0,0,0
2009,5,LTARPON,1,NPS,Coastal OTB,0,0,0,0,0
2009,6,LTARPON,1,NPS,Coastal OTB,347.0712,0.374892523,0.086931149,1.768211406,8.21777094
2009,7,LTARPON,1,NPS,Coastal OTB,14476227.79,14893.1334,3719.889698,77656.707,367794.2775
2009,8,LTARPON,1,NPS,Coastal OTB,17547088.18,17917.41292,4508.994572,94130.12181,445814.9397
2009,9,LTARPON,1,NPS,Coastal OTB,9458681.832,9244.432987,2430.553981,50740.43419,240314.611
2009,10,LTARPON,1,NPS,Coastal OTB,3088781.736,2898.462456,793.7100413,16569.55263,78475.98583
2009,11,LTARPON,1,NPS,Coastal OTB,93015.0816,80.30708472,23.29754797,473.8806567,2202.362612
2009,12,LTARPON,1,NPS,Coastal OTB,3972949.617,3508.189092,995.1072739,20240.84634,94069.42987
2010,1,LTARPON,1,NPS,Coastal OTB,6288066.465,5835.342798,1574.976096,32035.59051,148885.5597
2010,2,LTARPON,1,NPS,Coastal OTB,5465043.321,5110.139413,1368.832954,27842.56352,129398.4468
2010,3,LTARPON,1,NPS,Coastal OTB,8960674.645,9003.763212,2244.386005,45651.63318,212166.1829
2010,4,LTARPON,1,NPS,Coastal OTB,7783319.568,8197.855215,1949.493113,39653.40378,184289.3832
2010,5,LTARPON,1,NPS,Coastal OTB,1117241.386,1051.076273,279.8361763,5691.970296,26453.45909
2010,6,LTARPON,1,NPS,Coastal OTB,1761064.06,2210.616306,441.0948601,8972.030973,41697.55673
2010,7,LTARPON,1,NPS,Coastal OTB,16654139.56,17639.71369,4279.53767,89339.96166,423127.994
2010,8,LTARPON,1,NPS,Coastal OTB,23690968.15,23295.10798,6087.759161,127088.5343,601911.1222
2010,9,LTARPON,1,NPS,Coastal OTB,7510868.676,8431.784005,1930.03339,40291.52735,190826.9584
2010,10,LTARPON,1,NPS,Coastal OTB,139388.2723,161.7230213,35.81796345,747.7385941,3541.406617
2010,11,LTARPON,1,NPS,Coastal OTB,0,0,0,0,0
2010,12,LTARPON,1,NPS,Coastal OTB,0,0,0,0,0
2011,1,LTARPON,1,NPS,Coastal OTB,3227522.249,2977.998747,808.3995963,16443.14381,76419.58925
2011,2,LTARPON,1,NPS,Coastal OTB,2334762.129,2309.857959,584.7893885,11894.8303,55281.28053
2011,3,LTARPON,1,NPS,Coastal OTB,4734834.877,4232.605291,1185.93717,24122.39631,112108.9519
2011,4,LTARPON,1,NPS,Coastal OTB,11307331.79,12580.42098,2832.154745,57607.06459,267729.1074
2011,5,LTARPON,1,NPS,Coastal OTB,1193940.922,1401.613467,299.0471591,6082.72872,28269.51073
2011,6,LTARPON,1,NPS,Coastal OTB,0,0,0,0,0
2011,7,LTARPON,1,NPS,Coastal OTB,3954212.57,4072.5065,1016.095824,21212.09554,100463.7932
2011,8,LTARPON,1,NPS,Coastal OTB,19549385.12,20595.00367,5023.51561,104871.3031,496686.8495
2011,9,LTARPON,1,NPS,Coastal OTB,19587211.08,20187.44556,5033.235574,105074.2178,497647.8853
2011,10,LTARPON,1,NPS,Coastal OTB,3581055.051,3664.707816,920.2072516,19210.31824,90983.06369
2011,11,LTARPON,1,NPS,Coastal OTB,1425718.908,1344.941311,357.1007419,7263.559853,33757.42905
2011,12,LTARPON,1,NPS,Coastal OTB,535481.28,494.2316091,134.1223444,2728.097597,12678.84659
2012,1,LTARPON,1,NPS,Coastal OTB,206443.3877,183.7750564,64.16342013,898.6269619,3543.385136
2012,2,LTARPON,1,NPS,Coastal OTB,381094.4359,352.3280207,118.4456556,1658.86512,6541.087967
2012,3,LTARPON,1,NPS,Coastal OTB,41432.62413,45.32602962,12.87742319,180.3519771,711.1477199
2012,4,LTARPON,1,NPS,Coastal OTB,106600.44,101.614484,33.1318377,464.0208174,1829.685217
2012,5,LTARPON,1,NPS,Coastal OTB,112278.3329,118.0434294,34.89654924,488.7361048,1927.140318
2012,6,LTARPON,1,NPS,Coastal OTB,22611688.68,16922.23952,7027.802132,98426.3692,388106.02
2012,7,LTARPON,1,NPS,Coastal OTB,27215500.18,26663.36094,8544.228646,122879.6196,495962.0661
2012,8,LTARPON,1,NPS,Coastal OTB,11477316.71,10503.3983,3603.270839,51820.77499,209157.0491
2012,9,LTARPON,1,NPS,Coastal OTB,18950087.52,18042.83608,5949.325919,85560.78451,345337.1975
2012,10,LTARPON,1,NPS,Coastal OTB,4629777.864,4234.061719,1453.505553,20903.72542,84370.82472
2012,11,LTARPON,1,NPS,Coastal OTB,0,0,0,0,0
2012,12,LTARPON,1,NPS,Coastal OTB,0,0,0,0,0
2013,1,LTARPON,1,NPS,Coastal OTB,86727.81484,76.11194893,26.95534733,377.5173117,1488.592361
2013,2,LTARPON,1,NPS,Coastal OTB,306254.9186,269.2777527,95.18523805,1333.096352,5256.545817
2013,3,LTARPON,1,NPS,Coastal OTB,14634.56903,20.36273158,4.548481845,63.70278289,251.1870927
2013,4,LTARPON,1,NPS,Coastal OTB,173.5356,0.169000819,0.05393555,0.755382726,2.978557329
2013,5,LTARPON,1,NPS,Coastal OTB,389327.5185,324.8460458,121.0045301,1694.702886,6682.400231
2013,6,LTARPON,1,NPS,Coastal OTB,2448612.107,2103.438903,761.038312,10658.55818,42027.86942
2013,7,LTARPON,1,NPS,Coastal OTB,15102395.42,14049.444,4741.35396,68188.22334,275218.7241
2013,8,LTARPON,1,NPS,Coastal OTB,15780623.73,15802.35734,4954.281802,71250.46491,287578.4276
2013,9,LTARPON,1,NPS,Coastal OTB,17357278.62,16329.54388,5449.268109,78369.15656,316310.6211
2013,10,LTARPON,1,NPS,Coastal OTB,3942936.755,3508.096694,1237.873746,17802.59651,71854.1657
2013,11,LTARPON,1,NPS,Coastal OTB,1565291.112,1323.555748,486.4986587,6813.552189,26866.58711
2013,12,LTARPON,1,NPS,Coastal OTB,741084.9794,700.8453599,230.332138,3225.867153,12719.94966
2014,1,LTARPON,1,NPS,Coastal OTB,1983343.97,1753.079308,616.4311379,8633.293543,34042.0278
2014,2,LTARPON,1,NPS,Coastal OTB,3655934.691,3127.623346,1136.278939,15913.90996,62750.30063
2014,3,LTARPON,1,NPS,Coastal OTB,6351810.809,6000.831075,1974.167882,27648.7831,109022.1986
2014,4,LTARPON,1,NPS,Coastal OTB,2259359.14,2343.983161,702.2177425,9834.759358,38779.5399
2014,5,LTARPON,1,NPS,Coastal OTB,1353577.68,1288.888448,420.697288,5891.985263,23232.74717
2014,6,LTARPON,1,NPS,Coastal OTB,12395.4,12.63020407,3.852539268,53.955909,212.7540949
2014,7,LTARPON,1,NPS,Coastal OTB,6853104.776,6866.699801,2151.512695,30942.1801,124887.6553
2014,8,LTARPON,1,NPS,Coastal OTB,4273054.247,4629.842696,1341.513191,19293.09684,77870.06664
2014,9,LTARPON,1,NPS,Coastal OTB,29234224.71,26180.84639,9178.001452,131994.2822,532750.3221
2014,10,LTARPON,1,NPS,Coastal OTB,16554056.7,14463.12598,5197.098878,74742.5613,301673.0947
2014,11,LTARPON,1,NPS,Coastal OTB,11264409.86,9054.783301,3501.023065,49032.82452,193341.8303
2014,12,LTARPON,1,NPS,Coastal OTB,4095321.103,3926.868199,1272.841971,17826.51409,70291.90949
2015,1,LTARPON,1,NPS,Coastal OTB,1909835.25,1732.436459,477.6076734,9743.455279,45282.60168
2015,2,LTARPON,1,NPS,Coastal OTB,3735885.021,3493.687417,934.2624466,19059.46004,88578.63178
2015,3,LTARPON,1,NPS,Coastal OTB,3692709.616,3915.739472,923.4652298,18839.19097,87554.93368
2015,4,LTARPON,1,NPS,Coastal OTB,104865.084,110.2264881,26.22444464,534.9928777,2486.373539
2015,5,LTARPON,1,NPS,Coastal OTB,46374.79007,49.34296038,11.59731217,236.5914511,1099.556177
2015,6,LTARPON,1,NPS,Coastal OTB,3172726.584,3271.137589,793.4289422,16186.38026,75226.02494
2015,7,LTARPON,1,NPS,Coastal OTB,27842363.55,29229.1006,7142.464824,149500.9089,708015.7034
2015,8,LTARPON,1,NPS,Coastal OTB,34716820.4,36799.01534,8905.98487,186413.6352,882829.289
2015,9,LTARPON,1,NPS,Coastal OTB,12796292.03,13126.4358,3282.661887,68710.30488,325402.5358
2015,10,LTARPON,1,NPS,Coastal OTB,2092023.639,2157.354353,536.6715805,11233.22145,53198.98886
2015,11,LTARPON,1,NPS,Coastal OTB,2725118.69,2499.507052,681.4920802,13902.80763,64613.14618
2015,12,LTARPON,1,NPS,Coastal OTB,1667902.112,1496.297849,417.1055317,8509.178812,39546.31532
2016,1,LTARPON,1,NPS,Coastal OTB,2592726.268,2342.322571,648.3836555,13227.37783,61474.09358
2016,2,LTARPON,1,NPS,Coastal OTB,3009897.286,2840.439149,752.708926,15355.66987,71365.3075
2016,3,LTARPON,1,NPS,Coastal OTB,2896151.258,2826.094009,724.2635533,14775.36885,68668.3649
2016,4,LTARPON,1,NPS,Coastal OTB,2211522.767,2925.873333,553.0530675,11282.58219,52435.67715
2016,5,LTARPON,1,NPS,Coastal OTB,3032879.909,2933.274116,758.4563731,15472.9209,71910.2304
2016,6,LTARPON,1,NPS,Coastal OTB,6666690.032,6237.835608,1667.192139,34011.62283,158068.6445
2016,7,LTARPON,1,NPS,Coastal OTB,2610783.124,2712.788928,669.7501308,14018.72543,66390.75188
2016,8,LTARPON,1,NPS,Coastal OTB,18562631.31,19111.22614,4761.914013,99672.94071,472037.3125
2016,9,LTARPON,1,NPS,Coastal OTB,22491949.12,22656.7174,5769.910845,120771.6015,571957.6625
2016,10,LTARPON,1,NPS,Coastal OTB,3300455.183,3275.534092,846.6732721,17721.95269,83928.72588
2016,11,LTARPON,1,NPS,Coastal OTB,2568769.185,2420.230095,642.3925173,13105.15537,60906.06602
2016,12,LTARPON,1,NPS,Coastal OTB,1078139.916,995.9185629,269.619014,5500.373951,25562.92769
2017,1,LTARPON,1,NPS,Coastal OTB,0,0,0,0,0
2017,2,LTARPON,1,NPS,Coastal OTB,0,0,0,0,0
2017,3,LTARPON,1,NPS,Coastal OTB,0,0,0,0,0
2017,4,LTARPON,1,NPS,Coastal OTB,0,0,0,0,0
2017,5,LTARPON,1,NPS,Coastal OTB,0,0,0,0,0
2017,6,LTARPON,1,NPS,Coastal OTB,929580.6276,875.9299964,232.9169021,4770.016662,22168.10146
2017,7,LTARPON,1,NPS,Coastal OTB,3614234.738,3755.362544,929.3040287,19525.1776,92462.99194
2017,8,LTARPON,1,NPS,Coastal OTB,9029649.048,8855.19553,2321.733326,48780.86624,231005.5732
2017,9,LTARPON,1,NPS,Coastal OTB,27562667.9,26378.77702,7087.004629,148901.78,705135.9207
2017,10,LTARPON,1,NPS,Coastal OTB,2994950.902,2806.977077,770.071714,16179.621,76619.84935
2017,11,LTARPON,1,NPS,Coastal OTB,980699.2572,973.8584903,245.7252509,5032.324963,23387.14899
2017,12,LTARPON,1,NPS,Coastal OTB,575282.5096,503.7247855,144.1435159,2951.984018,13719.00474
2018,1,LTARPON,1,NPS,Coastal OTB,2795610.534,2599.580723,700.4717243,14345.29554,66668.10399
2018,2,LTARPON,1,NPS,Coastal OTB,3903090.114,3453.917413,977.9632138,20028.1765,93078.63683
2018,3,LTARPON,1,NPS,Coastal OTB,96684.12,138.573975,24.22529585,496.1214226,2305.667005
2018,4,LTARPON,1,NPS,Coastal OTB,0,0,0,0,0
2018,5,LTARPON,1,NPS,Coastal OTB,1896744.108,1751.845006,475.2506116,9732.884627,45232.45707
2018,6,LTARPON,1,NPS,Coastal OTB,1889356.45,1917.532534,473.3995505,9694.975861,45056.28046
2018,7,LTARPON,1,NPS,Coastal OTB,4005277.098,4210.915218,1029.850138,21637.70545,102467.0313
2018,8,LTARPON,1,NPS,Coastal OTB,9993347.415,10476.62949,2569.522648,53987.0532,255659.875
2018,9,LTARPON,1,NPS,Coastal OTB,13201613.91,13296.00633,3394.442776,71319.06889,337736.9787
2018,10,LTARPON,1,NPS,Coastal OTB,1014758.275,995.2231534,260.9180149,5482.027863,25960.56786
2018,11,LTARPON,1,NPS,Coastal OTB,251998.482,245.1061932,63.14105956,1293.095964,6009.51413
2018,12,LTARPON,1,NPS,Coastal OTB,10704393.89,9554.168212,2682.106521,54928.14252,255272.1977
2019,1,LTARPON,1,NPS,Coastal OTB,5575111.046,4992.545099,1396.906901,28607.92469,132952.0255
2019,2,LTARPON,1,NPS,Coastal OTB,5152944.857,4770.644195,1291.128405,26441.63626,122884.4503
2019,3,LTARPON,1,NPS,Coastal OTB,3278767.232,3212.019928,821.5320799,16824.54847,78190.14564
2019,4,LTARPON,1,NPS,Coastal OTB,83247.5064,78.59985568,20.85860089,427.1732659,1985.238411
2019,5,LTARPON,1,NPS,Coastal OTB,832011.2361,854.6138204,208.4697916,4269.35259,19841.32301
2019,6,LTARPON,1,NPS,Coastal OTB,11527226.18,10760.85372,2888.276426,59150.39464,274894.6267
2019,7,LTARPON,1,NPS,Coastal OTB,17520578.02,18170.3304,4504.949158,94651.40542,448229.0669
2019,8,LTARPON,1,NPS,Coastal OTB,19372810.65,19995.69542,4981.201357,104657.7203,495614.7468
2019,9,LTARPON,1,NPS,Coastal OTB,2056024.998,2047.780131,528.6519699,11107.2623,52599.30154
2019,10,LTARPON,1,NPS,Coastal OTB,2539673.513,2537.484897,653.009281,13720.07631,64972.48481
2019,11,LTARPON,1,NPS,Coastal OTB,860488.668,795.8450199,215.605133,4415.480661,20520.43635
2019,12,LTARPON,1,NPS,Coastal OTB,3503359.884,3224.544896,877.8063001,17977.01515,83546.10138
2020,1,LTARPON,1,NPS,Coastal OTB,1608986.896,1559.51148,403.1497993,8256.2976,38370.18942
2020,2,LTARPON,1,NPS,Coastal OTB,1450787.536,1335.238042,363.5111668,7444.519082,34597.54252
2020,3,LTARPON,1,NPS,Coastal OTB,167745.7487,181.7855029,42.03058773,860.7645129,4000.303647
2020,4,LTARPON,1,NPS,Coastal OTB,31856.178,36.58201148,7.981924401,163.4656482,759.6877183
2020,5,LTARPON,1,NPS,Coastal OTB,70485.84232,75.0359959,17.66102213,361.688521,1680.905623
2020,6,LTARPON,1,NPS,Coastal OTB,4799003.064,4591.022994,1202.4443,24625.43205,114443.851
2020,7,LTARPON,1,NPS,Coastal OTB,2009446.284,2123.694739,516.6754963,10855.63014,51407.67797
2020,8,LTARPON,1,NPS,Coastal OTB,5857306.322,6022.135902,1506.050038,31642.92153,149847.5076
2020,9,LTARPON,1,NPS,Coastal OTB,14727619.3,14440.79186,3786.814345,79563.00664,376776.785
2020,10,LTARPON,1,NPS,Coastal OTB,687632.8157,702.8396128,176.8064313,3714.798242,17591.71501
2020,11,LTARPON,1,NPS,Coastal OTB,2033713.278,1759.760186,509.5697807,10435.72331,48498.81866
2020,12,LTARPON,1,NPS,Coastal OTB,1892153.812,1745.249948,474.1004611,9709.330144,45122.99033
2021,1,LTARPON,1,NPS,Coastal OTB,860128.8016,800.0522666,215.5149644,4413.634055,20511.85446
2021,2,LTARPON,1,NPS,Coastal OTB,2724712.559,2513.419535,682.7074377,13981.49221,64977.37007
2021,3,LTARPON,1,NPS,Coastal OTB,307781.7805,331.0366478,77.11819365,1579.34038,7339.801987
2021,4,LTARPON,1,NPS,Coastal OTB,776199.948,818.5248089,194.4856444,3982.964549,18510.36767
2021,5,LTARPON,1,NPS,Coastal OTB,0,0,0,0,0
2021,6,LTARPON,1,NPS,Coastal OTB,3594666,3428.241121,900.6840763,18445.54007,85723.51685
2021,7,LTARPON,1,NPS,Coastal OTB,24297463.08,23592.25181,6247.444332,131262.1665,621602.1636
2021,8,LTARPON,1,NPS,Coastal OTB,14038390.28,14325.30008,3609.597491,75839.58521,359144.2342
2021,9,LTARPON,1,NPS,Coastal OTB,16606861.1,16659.07553,4270.011233,89715.23322,424853.4408
2021,10,LTARPON,1,NPS,Coastal OTB,251546.6497,250.6540366,64.67850926,1358.930276,6435.319654
2021,11,LTARPON,1,NPS,Coastal OTB,2591382.324,2442.896299,649.3000448,13297.32623,61797.7877
2021,12,LTARPON,1,NPS,Coastal OTB,350389.9684,326.0667365,87.79415529,1797.978506,8355.897422
